input,aop,cap
"piza ngon , nhân nhiều , nhân viên nhanh nhẹn , không gian không lớn nhưng được cái trang trí bắt mắt","{không gian,không lớn,negative};{pizza,ngon,positive};{nhân,nhiều,positive};{trang trí,bắt mắt,positive}","{AMBIENCE#GENERAL,không gian,negative};{FOOD#QUALITY,pizza,positive};{FOOD#STYLE&OPTIONS,nhân,positive};{AMBIENCE#GENERAL,trang trí,positive}"
nhà hàng trang trí đẹp nhân viên phục vụ tốt có điều lên món chậm tí,"{nhân viên phục vụ,tốt,positive};{trang trí,đẹp,positive};{lên món,chậm,negative}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{AMBIENCE#GENERAL,trang trí,positive};{SERVICE#GENERAL,lên món,negative}"
mặc dù là phục vụ tốt nhưng món ăn thì dỡ tệ,"{phục vụ,tốt,positive};{món ăn,dỡ tệ,negative}","{SERVICE#GENERAL,phục vụ,positive};{FOOD#QUALITY,món ăn,negative}"
"ở ngay trung tâm , giá cả vầy là ổn , chất lượng cũng tốt mà .","{chất lượng,tốt,positive};{giá cả,ổn,neutral};{null,ngay trung tâm,positive}","{RESTAURANT#GENERAL,chất lượng,positive};{RESTAURANT#PRICES,giá cả,neutral};{LOCATION#GENERAL,null,positive}"
"trà cây ở đây rất tươi đặc trưng , trà sữa trân châu hoàng gia cũng ngon uống rất được đặc biệt là không gian quán quý tộc vô cùng nên hơi mắc .","{không gian,quý tộc,positive};{trà sữa trân châu hoàng gia,ngon,positive};{trà cây,tươi đặc trưng,positive};{null,mắc,negative}","{AMBIENCE#GENERAL,không gian,positive};{DRINKS#QUALITY,trà sữa trân châu hoàng gia,positive};{DRINKS#STYLE&OPTIONS,trà cây,positive};{RESTAURANT#PRICES,null,negative}"
không gian ở đây chậc lắm nhân viên phục vụ thì vui,"{nhân viên phục vụ,vui,positive};{không gian,chậc,negative}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{AMBIENCE#GENERAL,không gian,negative}"
"đồ ăn bình thường , giá cao , thái độ nhân viên phục vụ hơi khó chịu , gửi xe bị thu phí","{nhân viên phục vụ,khó chịu,negative};{đồ ăn,bình thường,neutral};{gửi xe,thu phí,negative};{giá,cao,negative}","{SERVICE#GENERAL,nhân viên phục vụ,negative};{FOOD#QUALITY,đồ ăn,neutral};{RESTAURANT#MISCELLANEOUS,gửi xe,negative};{RESTAURANT#PRICES,giá,negative}"
quán đông nên phục vụ khá chậm nhưng thái độ nhân viên nhẹ nhàng chuyên nghiệp,"{quán,đông,neutral};{thái độ nhân viên,nhẹ nhàng chuyên nghiệp,positive};{phục vụ,chậm,negative}","{RESTAURANT#GENERAL,quán,neutral};{SERVICE#GENERAL,thái độ nhân viên,positive};{SERVICE#GENERAL,phục vụ,negative}"
đồ ăn cực ngon chât lượng lắm mình ăn pad thai ở thái mà không ngon bằng nhà hàng ở đây giá cũng ổn nữa ăn nó ngập mặt lúc tính tiền đi num người mỗi người có giá tiền thôi,"{đồ ăn,ngon,positive};{giá,ổn,neutral};{null,null,neutral}","{FOOD#QUALITY,đồ ăn,positive};{RESTAURANT#PRICES,giá,neutral};{RESTAURANT#PRICES,null,neutral}"
cách trình bày không đẹp nhưng vài món nướng ướp cũng được .,"{món nướng,cũng được,neutral};{trình bày,không đẹp,negative}","{FOOD#QUALITY,món nướng,neutral};{FOOD#STYLE&OPTIONS,trình bày,negative}"
"sau khi đem ra thì mì quảng ổn nhưng bún bò không chất lượng lắm , chất lượng phục vụ kém","{mì quảng,ổn,neutral};{bún bò,không chất lượng,negative};{chất lượng phục vụ,kém,negative}","{FOOD#QUALITY,mì quảng,neutral};{FOOD#QUALITY,bún bò,negative};{SERVICE#GENERAL,chất lượng phục vụ,negative}"
ăn quán này rồi khá ngon tuy nhiên vì quán đông nên nhân viên phục vụ hơi chậm và không vui vẻ chắc vì quán đông quá nên cũng thông cảm,"{null,ngon,positive};{nhân viên phục vụ,chậm,negative};{nhân viên phục vụ,không vui vẻ,negative};{quán,đông,neutral}","{RESTAURANT#GENERAL,null,positive};{SERVICE#GENERAL,nhân viên phục vụ,negative};{SERVICE#GENERAL,nhân viên phục vụ,negative};{RESTAURANT#GENERAL,quán,neutral}"
đồ ăn ở quán ngon nhưng phục vụ hơi chậm,"{phục vụ,chậm,negative};{đồ ăn,ngon,positive}","{SERVICE#GENERAL,phục vụ,negative};{FOOD#QUALITY,đồ ăn,positive}"
giá cả ở đây thì là điểm cộng rồi mình ăn num món với num lon bò húc mà hết có giá tiền hay gì đó thôi rẻ xỉu 🥴 điểm trừ duy nhất của quán là đường đi khó nhớ kinh khủng đi nhiều lần rồi mà mỗi lần đi vẫn như ma trận tốt,"{giá cả,điểm cộng,positive};{null,rẻ,positive};{đường đi,khó nhớ,negative}","{RESTAURANT#PRICES,giá cả,positive};{FOOD#PRICES,null,positive};{LOCATION#GENERAL,đường đi,negative}"
"giá hợp lí so với mặt băng chung , thực đơn rất đa dạng nhiều món , đồ ăn được chứ không ấn tượng , nhân viên nhiệt tình","{nhân viên,nhiệt tình,positive};{menu,đa dạng nhiều món,positive};{giá,hợp lí,positive};{đồ ăn,được,neutral}","{SERVICE#GENERAL,nhân viên,positive};{FOOD#STYLE&OPTIONS,menu,positive};{RESTAURANT#PRICES,giá,positive};{FOOD#QUALITY,đồ ăn,neutral}"
vị ngon thịt đậm đà và mềm kết luận ăn được nhưng giá cao,"{vị,ngon,positive};{giá,cao,negative};{thịt,mềm,positive};{thịt,đậm đà,positive}","{FOOD#QUALITY,vị,positive};{FOOD#PRICES,giá,negative};{FOOD#STYLE&OPTIONS,thịt,positive};{FOOD#STYLE&OPTIONS,thịt,positive}"
"gia ở đây rẻ , không gian rộng rãi , thoáng , nhân viên phục vụ tốt , món ăn cũng được ( chưa đến mức độ ngon ) vì gần nhà nên cũng hay ra ăn ,","{nhân viên phục vụ,tốt,positive};{món ăn,cũng được,neutral};{không gian,rộng rã,positive};{gia,rẻ,positive}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{FOOD#QUALITY,món ăn,neutral};{AMBIENCE#GENERAL,không gian,positive};{FOOD#PRICES,gia,positive}"
"không gian trang trí lịch sự sang trọng và cả cách bày món đẹp , bắt mắt , giá hơi bị chát ( tổng giá tiền hông ) nhưng chất lượng tuyệt vời , đồ ăn rất ngon , đậm đà , mỗi món đều mang vị riêng của nó , rất đáng .","{chất lượng,tuyệt vời,positive};{đồ ăn,ngon,positive};{đồ ăn,đậm đà,positive};{cách bày món,đẹp,positive};{cách bày món,bắt mắt,positive};{giá,chát,negative};{không gian trang trí,lịch sự sang trọng,positive}","{RESTAURANT#GENERAL,chất lượng,positive};{FOOD#QUALITY,đồ ăn,positive};{FOOD#QUALITY,đồ ăn,positive};{FOOD#STYLE&OPTIONS,cách bày món,positive};{FOOD#STYLE&OPTIONS,cách bày món,positive};{RESTAURANT#PRICES,giá,negative};{AMBIENCE#GENERAL,không gian trang trí,positive}"
không gian quán tương đối nhỏ nhưng thái độ phục vụ của nhân viên rất tốt,"{thái độ phục vụ,tốt,positive};{không gian,nhỏ,negative}","{SERVICE#GENERAL,thái độ phục vụ,positive};{AMBIENCE#GENERAL,không gian,negative}"
đồ ăn ok mà thái độ nhân viên như không muốn phục vụ vậy,"{thái độ nhân viên,null,negative};{đồ ăn,ok,neutral}","{SERVICE#GENERAL,thái độ nhân viên,negative};{FOOD#QUALITY,đồ ăn,neutral}"
nhân viên phục vụ tốt giá cả thì hơi mắc,"{nhân viên phục vụ,tốt,positive};{giá cả,mắc,negative}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{RESTAURANT#PRICES,giá cả,negative}"
giá cả đắt xắt ra miếng thật nhưng chất lượng thức ăn lẫn phong cách phục vụ khiến mình rất hài lòng,"{phong cách phục vụ,hài lòng,positive};{chất lượng thức ăn,hài lòng,positive};{giá cả,đắt,negative}","{SERVICE#GENERAL,phong cách phục vụ,positive};{FOOD#QUALITY,chất lượng thức ăn,positive};{RESTAURANT#PRICES,giá cả,negative}"
"không gian sang trọng đẹp như ở thái , yên tịnh lịch sự thức ăn ngon nóng và thơm , giá cả ổn định , nhân viên phục vụ nhiệt tình vui vẽ có thể áp dụng voucher để dùng bữa mà không có thái độ phàn nàn gì","{nhân viên phục vụ,nhiệt tình vui vẽ,positive};{thức ăn,ngon nóng,positive};{giá cả,ổn định,positive};{không gian,sang trọng đẹp,positive};{thức ăn,thơm,positive};{thức ăn,thơm,positive}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{FOOD#QUALITY,thức ăn,positive};{RESTAURANT#PRICES,giá cả,positive};{AMBIENCE#GENERAL,không gian,positive};{FOOD#STYLE&OPTIONS,thức ăn,positive};{FOOD#QUALITY,thức ăn,positive}"
đồ ăn ngon giá hơi cao nên tính ra ăn trưa cũng xa xỉ,"{đồ ăn,ngon,positive};{giá,cao,negative}","{FOOD#QUALITY,đồ ăn,positive};{FOOD#PRICES,giá,negative}"
dù không thích nhân viên nhưng công nhận quán này làm đồ ngon rẻ và được cái lâu lâu ghé mà không lên giá,"{nhân viên,không thích,negative};{null,ngon,positive};{null,rẻ,positive};{giá,null,neutral}","{SERVICE#GENERAL,nhân viên,negative};{FOOD#QUALITY,null,positive};{FOOD#PRICES,null,positive};{RESTAURANT#PRICES,giá,neutral}"
giá nước khá đắt toilet sạch sẽ có nhân viên bảo vệ dắt xe ghi phiếu,"{nhân viên bảo vệ,null,positive};{giá nước,đắt,negative};{toilet,sạch sẽ,positive}","{SERVICE#GENERAL,nhân viên bảo vệ,positive};{DRINKS#PRICES,giá nước,negative};{RESTAURANT#MISCELLANEOUS,toilet,positive}"
đồ ăn ngon và có thể tự nhiên nên thấy rất là vui không gian đẹp ok nhưng đồ ăn chiên thì hơi nhiều dầu mỡ nhân viên phục vụ tận tình,"{nhân viên phục vụ,tận tình,positive};{đồ ăn,ngon,positive};{không gian,đẹp ok,positive};{đồ ăn,dầu mỡ,negative}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{FOOD#QUALITY,đồ ăn,positive};{AMBIENCE#GENERAL,không gian,positive};{FOOD#STYLE&OPTIONS,đồ ăn,negative}"
nhân viên phục vụ tốt thời gian chờ khá lâu bù lại đồ ăn được sợi mỳ hơi cứng,"{nhân viên phục vụ,tốt,positive};{đồ ăn,được,neutral};{thời gian chờ,lâu,negative};{sợi mỳ,cứng,neutral}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{FOOD#QUALITY,đồ ăn,neutral};{SERVICE#GENERAL,thời gian chờ,negative};{FOOD#STYLE&OPTIONS,sợi mỳ,neutral}"
"bảo vệ mất dạy nhưng được cái đồ ăn khá ngon , địa chỉ ở ngay quận num","{địa chỉ,quận 5,neutral};{bảo vệ,mất dạy,negative};{đồ ăn,ngon,positive}","{LOCATION#GENERAL,địa chỉ,neutral};{SERVICE#GENERAL,bảo vệ,negative};{FOOD#QUALITY,đồ ăn,positive}"
quán thì được cái đồ ăn phong phú đa dạng nhưng do không chuyên cái món gì nên thành ra mỗi món thì tàm tạm thôi,"{đồ ăn,phong phú đa dạng,positive};{món,tàm tạm,neutral}","{FOOD#STYLE&OPTIONS,đồ ăn,positive};{FOOD#QUALITY,món,neutral}"
nhìn chung gả rán ở đây ăn cũng ngon da giòn giòn và thơm thịt gà mềm và ngọt có điều gà hơi nhỏ,"{gả rán,ngon,positive};{gà,nhỏ,negative};{da,thơm,positive};{thịt gà,ngọt,positive};{da,giòn giòn,positive};{thịt gà,mềm,positive}","{FOOD#QUALITY,gả rán,positive};{FOOD#STYLE&OPTIONS,gà,negative};{FOOD#QUALITY,da,positive};{FOOD#QUALITY,thịt gà,positive};{FOOD#STYLE&OPTIONS,da,positive};{FOOD#STYLE&OPTIONS,thịt gà,positive}"
"bánh gạo ăn ngon , sườn nướng gia vị ướp thấm đều , mềm tuy nhiên món thịt ba chỉ nướng khô , trình bày kém , mỳ trộn quá bình thường ,","{mỳ trộn,bình thường,neutral};{gia vị ướp,thấm đều,positive};{bánh gạo,ngon,positive};{thịt ba chỉ nướng,khô,negative};{trình bày,kém,negative}","{FOOD#QUALITY,mỳ trộn,neutral};{FOOD#STYLE&OPTIONS,gia vị ướp,positive};{FOOD#QUALITY,bánh gạo,positive};{FOOD#STYLE&OPTIONS,thịt ba chỉ nướng,negative};{FOOD#STYLE&OPTIONS,trình bày,negative}"
đồ ăn và giá tiền thì ok nhưng nhân viên phục vụ thì quá tệ so với num nhà hàng,"{phục vụ thì,tệ,negative};{đồ ăn,ok,neutral};{giá tiền,ok,neutral}","{SERVICE#GENERAL,phục vụ thì,negative};{FOOD#QUALITY,đồ ăn,neutral};{FOOD#PRICES,giá tiền,neutral}"
giá khá cao nhưng lượng và chất ổn so với giá cả,"{lượng,ổn,neutral};{giá,cao,negative};{chất,ổn,neutral}","{RESTAURANT#GENERAL,lượng,neutral};{RESTAURANT#PRICES,giá,negative};{RESTAURANT#GENERAL,chất,neutral}"
chất lượng giá cả lẩu tạm được bạch tuột và sò ngon giá hơi cao tý nhưng chấp nhận được giữ xe miễn phí phía trước quán nằm ngay mặt tiền nên rất dễ tìm,"{chất lượng,tạm được,neutral};{null,dễ tìm,positive};{giữ xe,miễn phí,positive};{giá cả lẩu,được,neutral};{sò,ngon,positive};{giá,cao,negative};{bạch tuột,ngon,positive}","{FOOD#QUALITY,chất lượng,neutral};{LOCATION#GENERAL,null,positive};{RESTAURANT#MISCELLANEOUS,giữ xe,positive};{FOOD#PRICES,giá cả lẩu,neutral};{FOOD#QUALITY,sò,positive};{FOOD#PRICES,giá,negative};{FOOD#QUALITY,bạch tuột,positive}"
đồ ăn rất ngon nhưng khẩu phần rất nhỏ tính ra là giá cao so với đồ chay,"{đồ ăn,ngon,positive};{khẩu phần,nhỏ,negative};{giá,cao,negative}","{FOOD#QUALITY,đồ ăn,positive};{FOOD#STYLE&OPTIONS,khẩu phần,negative};{FOOD#PRICES,giá,negative}"
giá cả thì không rẻ lắm chắc chỉ thích hợp lâu lâu mới ăn được thôi gt lt về mặt trang trí và không gian trong quán cũng khá đẹp mang theo phong cách hiện đại,"{giá cả,không rẻ,neutral};{trang trí,đẹp,positive};{không gian,đẹp,positive}","{RESTAURANT#PRICES,giá cả,neutral};{AMBIENCE#GENERAL,trang trí,positive};{AMBIENCE#GENERAL,không gian,positive}"
ghé đây cũng num lần nhưng cũng lâu lắm rồi quán khá đông người nước ngoài xếp hàng khá trật tự không phải chờ đợi món quá lâu đồ ăn mình thấy ngon giá vừa phải quang cảnh khá đẹp có không gian ngoài trời nữa,"{quán,đông,neutral};{chờ đợi món,null,positive};{đồ ăn,ngon,positive};{view,đẹp,positive};{giá,vừa phải,neutral}","{RESTAURANT#GENERAL,quán,neutral};{SERVICE#GENERAL,chờ đợi món,positive};{FOOD#QUALITY,đồ ăn,positive};{LOCATION#GENERAL,view,positive};{FOOD#PRICES,giá,neutral}"
"vị trí hơi khó tìm , gửi xe cách đó vài căn , nhạc nhẹ . nói chung hay đó","{Vị trí,khó tìm,negative};{gửi xe,null,neutral};{nhạc,hay,positive}","{LOCATION#GENERAL,Vị trí,negative};{RESTAURANT#MISCELLANEOUS,gửi xe,neutral};{RESTAURANT#MISCELLANEOUS,nhạc,positive}"
thái độ cũng phải siêu niềm nở nhưng vẫn lịch sự nói chung là ưng piza num p s rồi đó tốt ở đây giá thành thế là ok rồi nha mọi người ơi,"{thái độ,niềm nở,positive};{giá thành,ok,neutral}","{SERVICE#GENERAL,thái độ,positive};{RESTAURANT#PRICES,giá thành,neutral}"
món ăn ngon mà thái độ tệ sau quay lại,"{thái độ,tệ,negative};{món ăn,ngon,positive}","{SERVICE#GENERAL,thái độ,negative};{FOOD#QUALITY,món ăn,positive}"
giá nước uống hơi cao trà đá cũng gần giá tiền nhưng đồ ăn thì chất lượng,"{đồ ăn,chất lượng,positive};{giá,cao,negative}","{FOOD#QUALITY,đồ ăn,positive};{DRINKS#PRICES,giá,negative}"
nói chung là thức uống ok nhưng thái độ bạn nam gọi quá xem thường khách hàng,"{thái độ,null,negative};{thức uống,ok,neutral}","{SERVICE#GENERAL,thái độ,negative};{DRINKS#QUALITY,thức uống,neutral}"
giá tầm trung cho nhà hàng hoa num sao nhà hàng trang trí nhiều nội thất cao cấp đúng kiểu nặng nề của người hoa không gian ngồi rộng rãi sang trọng và sạch sẽ,"{giá,tầm trung,neutral};{trang trí,null,positive};{không gian ngồi,rộng rãi sang trọng,positive};{không gian ngồi,sạch sẽ,positive}","{RESTAURANT#PRICES,giá,neutral};{AMBIENCE#GENERAL,trang trí,positive};{AMBIENCE#GENERAL,không gian ngồi,positive};{AMBIENCE#GENERAL,không gian ngồi,positive}"
"giá cả so với chất lượng thì mình thấy ổn á , nhân viên dễ thương .","{nhân viên,dễ thương,positive};{giá cả,ổn,neutral}","{SERVICE#GENERAL,nhân viên,positive};{RESTAURANT#PRICES,giá cả,neutral}"
chất lượng thì tạm ổn nhưng không để lại ấn tượng gì nhiều so với số tiền bỏ ra thì cảm thấy khá cao nhưng thui kệ dù gì cũng là num sự lựa chọn,"{chất lượng,tạm ổn,neutral};{số tiền bỏ ra,cao,negative}","{RESTAURANT#GENERAL,chất lượng,neutral};{RESTAURANT#PRICES,số tiền bỏ ra,negative}"
đồ uống đa dạng có nhiều loại chỉ giá tiền,"{đồ uống,đa dạng,positive};{null,null,neutral}","{DRINKS#STYLE&OPTIONS,đồ uống,positive};{DRINKS#PRICES,null,neutral}"
"chất lượng bình thường , piza đế khá dầy , lượng chese hơi ít không như mình mong muốn : ( .","{chất lượng,bình thường,neutral};{đế,khá dầy,positive};{lượng cheese,ít,negative}","{RESTAURANT#GENERAL,chất lượng,neutral};{FOOD#STYLE&OPTIONS,đế,positive};{FOOD#STYLE&OPTIONS,lượng cheese,negative}"
"quán đẹp , thức uống ok , giá rẻ","{quán,đẹp,positive};{thức uống,ok,neutral};{giá,rẻ,positive}","{RESTAURANT#GENERAL,quán,positive};{DRINKS#QUALITY,thức uống,neutral};{RESTAURANT#PRICES,giá,positive}"
"nước uống được , nhân viên thân thiện nhưng khi mình đến quán hơi đông với chỗ mình ngồi hơi nóng , máy lạnh nó phà đi đâu hết à : ( ( .","{nhân viên,thân thiện,positive};{chỗ mình ngồi,nóng,negative};{nước uống,được,neutral};{quán,đông,neutral}","{SERVICE#GENERAL,nhân viên,positive};{AMBIENCE#GENERAL,chỗ mình ngồi,negative};{DRINKS#QUALITY,nước uống,neutral};{RESTAURANT#GENERAL,quán,neutral}"
lần đầu mình ăn ở đây thấy quán rộng rãi và đẹp nên chọn dẫn gia đình tới ăn thử nhưng nhân viên phục vụ không tốt gọi nhân viên tới để kêu món nhưng thấy rồi gật đầu rồi đi,"{nhân viên phục vụ,không tốt,negative};{quán,rộng rãi,positive};{quán,đẹp,positive}","{SERVICE#GENERAL,nhân viên phục vụ,negative};{RESTAURANT#GENERAL,quán,positive};{RESTAURANT#GENERAL,quán,positive}"
"đồ uống ổn , đặc biệt là mấy bình trà nóng ngon lắm , có đường sữa và mật ong mình tự pha vào , hay tặng voucher mua num tặng num nữa nên thích lắm .","{Đồ uống,ổn,neutral};{bình trà nóng,ngon,positive};{null,null,neutral};{voucher,thích,positive}","{DRINKS#QUALITY,Đồ uống,neutral};{DRINKS#QUALITY,bình trà nóng,positive};{DRINKS#STYLE&OPTIONS,null,neutral};{RESTAURANT#MISCELLANEOUS,voucher,positive}"
"thạch ở đây rất phong phú nhưng mỗi ly thì hơi ít toping , chất lượng thì mình thấy tạm ổn","{topping,ít,negative};{thạch,phong phú,positive};{chất lượng,tạm ổn,neutral}","{DRINKS#STYLE&OPTIONS,topping,negative};{DRINKS#STYLE&OPTIONS,thạch,positive};{DRINKS#QUALITY,chất lượng,neutral}"
"giá cả hợp lý với chất lượng món ăn , phục vụ hơi chậm , thời gian chờ món cũng khá lâu , chắc do mình đi ăn vào cuối tuần","{phục vụ,chậm,negative};{thời gian chờ món,lâu,negative};{Giá cả,hợp lý,positive};{chất lượng món ăn,null,positive}","{SERVICE#GENERAL,phục vụ,negative};{SERVICE#GENERAL,thời gian chờ món,negative};{FOOD#STYLE&OPTIONS,Giá cả,positive};{FOOD#QUALITY,chất lượng món ăn,positive}"
nhà hàng các món nhật có tiếng lâu nay giá cả hơi cao nhưng đảm bảo độ tươi của từng miếng sashimi,"{nhà hàng,có tiếng,positive};{sashimi,tươi,positive};{giá cả,cao,negative}","{RESTAURANT#GENERAL,nhà hàng,positive};{FOOD#STYLE&OPTIONS,sashimi,positive};{RESTAURANT#PRICES,giá cả,negative}"
món ăn ngon nhưng phục vụ thì quá sức tệ,"{phục vụ,tệ,negative};{món ăn,ngon,positive}","{SERVICE#GENERAL,phục vụ,negative};{FOOD#QUALITY,món ăn,positive}"
nhân viên đây rất lịch sự và nhiệt tình num nhưng khi gọi bánh thì mang ra hơi lâu một chút có lẽ làm mới và nóng luôn cho khách num bánh thì rất ngon nhưng giá nước thì hơi đắt chút,"{nhân viên,lịch sự,positive};{bánh,ngon,positive};{mang ra,lâu,negative};{giá nước,đắt,negative};{nhân viên,nhiệt tình,positive}","{SERVICE#GENERAL,nhân viên,positive};{FOOD#QUALITY,bánh,positive};{SERVICE#GENERAL,mang ra,negative};{DRINKS#PRICES,giá nước,negative};{SERVICE#GENERAL,nhân viên,positive}"
quán hơi nhỏ đồ lên hơi lâu nhưng giá cả ổn cùng chất lươing tạm được,"{đồ lên,lâu,negative};{giá cả,ổn,neutral};{quán,nhỏ,negative};{chất lươing,tạm được,neutral}","{SERVICE#GENERAL,đồ lên,negative};{RESTAURANT#PRICES,giá cả,neutral};{RESTAURANT#GENERAL,quán,negative};{RESTAURANT#GENERAL,chất lươing,neutral}"
thức ăn ngon giá cả vừa phải nhưng tốc độ phục vụ cực kì lâu,"{phục vụ,lâu,negative};{thức ăn,ngon,positive};{giá cả,vừa phải,neutral}","{SERVICE#GENERAL,phục vụ,negative};{FOOD#QUALITY,thức ăn,positive};{FOOD#PRICES,giá cả,neutral}"
nhân viên lịch sự đồ ăn được đem lên cũng nhanh khuôn viên bên ngoài rất rộng và đẹp giá đồ ăn thì hơi cao món cua rang me ngon thịt chắc món cháo hào cũng tàm tạm,"{nhân viên,lịch sự,positive};{null,nhanh,positive};{thịt,chắc,positive};{khuôn viên,rộng,positive};{giá,cao,negative};{cua rang me,ngon,positive};{cháo hào,tàm tạm,neutral};{khuôn viên,đẹp,positive};{đồ ăn,được,neutral}","{SERVICE#GENERAL,nhân viên,positive};{SERVICE#GENERAL,null,positive};{FOOD#STYLE&OPTIONS,thịt,positive};{AMBIENCE#GENERAL,khuôn viên,positive};{FOOD#PRICES,giá,negative};{FOOD#QUALITY,cua rang me,positive};{FOOD#QUALITY,cháo hào,neutral};{AMBIENCE#GENERAL,khuôn viên,positive};{FOOD#QUALITY,đồ ăn,neutral}"
vô chăc gần chục lần rồi ạ vì gần nhà mà đồ ăn lại nhiều cơ mà bât tiẹn mỗi lúc nào cũng phải chơ đơi bàn ghế khu ăn uống lúc nào cũng đông mà chỗ ăn thì ít và nhỏ,"{đồ ăn,nhiều,positive};{chỗ ăn,ít,negative};{null,gần nhà,positive};{chỗ ăn,ít,negative};{chỗ ăn,nhỏ,negative};{khu ăn uống,đông,neutral}","{FOOD#STYLE&OPTIONS,đồ ăn,positive};{AMBIENCE#GENERAL,chỗ ăn,negative};{LOCATION#GENERAL,null,positive};{RESTAURANT#MISCELLANEOUS,chỗ ăn,negative};{RESTAURANT#MISCELLANEOUS,chỗ ăn,negative};{RESTAURANT#GENERAL,khu ăn uống,neutral}"
túi bỏng giá tiền nhưng chất lượng quá ổn nên chấp nhận .,"{chất lượng,quá ổn,positive};{túi bỏng,null,neutral}","{FOOD#QUALITY,chất lượng,positive};{FOOD#PRICES,túi bỏng,neutral}"
"đồ ăn ngon lại khá to , đủ cho num người ăn , chi phí cho bữa ăn mình thấy cũng ổn","{đồ ăn,ngon,positive};{đồ ăn,to,positive};{chi phí,ổn,neutral}","{FOOD#QUALITY,đồ ăn,positive};{FOOD#STYLE&OPTIONS,đồ ăn,positive};{FOOD#PRICES,chi phí,neutral}"
"thức uống tại nhà hàng này hơi bình thường , tuy nhiên , nhà vệ sinh rất sạch sẽ và chén bát được sắp xếp gọn gàng","{Thức uống,bình thường,neutral};{nhà vệ sinh,sạch sẽ,positive};{chén bát,gọn gàng,positive}","{DRINKS#QUALITY,Thức uống,neutral};{RESTAURANT#MISCELLANEOUS,nhà vệ sinh,positive};{RESTAURANT#MISCELLANEOUS,chén bát,positive}"
gà rán ở đây ngon tuy chờ lâu nhưng nóng hổi vừa thổi vừa ăn,"{gà rán,ngon,positive};{chờ,lâu,negative}","{FOOD#QUALITY,gà rán,positive};{SERVICE#GENERAL,chờ,negative}"
giá hơi cao nhưng chất lượng cũng tốt vừa miệng nên không có điều kiện uống thường xuyên .,"{giá,cao,negative};{chất lượng,tốt,positive}","{DRINKS#PRICES,giá,negative};{DRINKS#QUALITY,chất lượng,positive}"
nước không được nóng lắm nên chờ hơi lâu một tẹo phục vụ chuẩn bị cũng hơi lâu nhưng không sao bởi vì lẩu nấu khá là ngon,"{phục vụ,lâu,negative};{lẩu,ngon,positive};{nước,null,negative}","{SERVICE#GENERAL,phục vụ,negative};{FOOD#QUALITY,lẩu,positive};{DRINKS#STYLE&OPTIONS,nước,negative}"
"đồ uống hay các loại kem của quán không có gì đặc biệt hết trơn , không gian rộng rãi có nhạc nhẹ để thư giãn giá cả cực kì ổn","{giá cả,ổn,neutral};{null,có nhạc nhẹ,positive};{không gian,rộng rãi,positive};{đồ uống,không có gì đặc biệt,neutral};{kem,không có gì đặc biệt,neutral}","{RESTAURANT#PRICES,giá cả,neutral};{RESTAURANT#MISCELLANEOUS,null,positive};{AMBIENCE#GENERAL,không gian,positive};{DRINKS#QUALITY,đồ uống,neutral};{FOOD#QUALITY,kem,neutral}"
gà rán kfc nằm trên đường võ văn ngân cửa hàng có num lầu không gian khá rộng rãi mình thích trên lầu hơn trên đó còn có một khu vui chơi cho trẻ em rất phù hợp với những gia đình có em nhỏ,"{khu vui chơi,null,positive};{không gian,rộng rãi,positive};{gà rán kfc,null,neutral}","{RESTAURANT#MISCELLANEOUS,khu vui chơi,positive};{AMBIENCE#GENERAL,không gian,positive};{LOCATION#GENERAL,gà rán kfc,neutral}"
"thấy chất lượng đồ ăn cũng tạm , nhân viên phục vụ không chuyên nghiệp cho lắm , nói chung sẽ khó quay lại ,","{nhân viên phục vụ,không chuyên nghiệp,negative};{chất lượng đồ ăn,tạm,neutral}","{SERVICE#GENERAL,nhân viên phục vụ,negative};{FOOD#QUALITY,chất lượng đồ ăn,neutral}"
"giá cả thì ổn , không gian đẹp , vị trí ngay trung tâm , nhân viên phục vụ rât dễ thương và chiều lòng khách hàng .","{nhân viên phục vụ,dễ thương,positive};{giá cả,ổn,neutral};{không gian,đẹp,positive};{vị trí,ngay trung tâm,positive}","{SERVICE#GENERAL,nhân viên phục vụ,positive};{RESTAURANT#PRICES,giá cả,neutral};{AMBIENCE#GENERAL,không gian,positive};{LOCATION#GENERAL,vị trí,positive}"
món cánh gà basil num cánh xk khá bình thường cơm chiên hải sản cũng vậy ngoại trừ cơm ngon món sò điệp gói giấy bạc giá tiền sò không nhiều ăn cũng bình thường khá đắt với mình,"{cánh gà basil,bình thường,neutral};{sò,không nhiều,negative};{null,đắt,negative};{sò điệp gói giấy bạc,null,neutral};{cơm,ngon,positive}","{FOOD#QUALITY,cánh gà basil,neutral};{FOOD#STYLE&OPTIONS,sò,negative};{RESTAURANT#PRICES,null,negative};{FOOD#PRICES,sò điệp gói giấy bạc,neutral};{FOOD#QUALITY,cơm,positive}"
