input,ao,ap,cp
"nhân viên rất chu đáo dễ thương à phục vụ món ăn hơi chậm , hương vị đặc trưng ấn độ","{nhân viên,chu đáo dễ thương};{phục vụ món ăn,chậm};{hương vị,đặc trưng}","{nhân viên,positive};{phục vụ món ăn,negative};{hương vị,positive}","{SERVICE#GENERAL,positive};{SERVICE#GENERAL,negative};{FOOD#STYLE&OPTIONS,positive}"
ăn mãi quán này hải sản tươi ngon giá ok có đều vị trí không được thuận lợi cho lắm thôi,"{hải sản,ngon};{giá,ok};{vị trí,null};{hải sản,tươi}","{hải sản,positive};{giá,neutral};{vị trí,negative};{hải sản,positive}","{FOOD#QUALITY,positive};{FOOD#PRICES,neutral};{LOCATION#GENERAL,negative};{FOOD#STYLE&OPTIONS,positive}"
thực đơn của loteria thì đa dạng giá cả cũng không quá đắt so với các thương hiệu gà rán hiện nay,"{menu,đa dạng};{giá cả,không quá đắt}","{menu,positive};{giá cả,neutral}","{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,neutral}"
"kem ăn bình thường , là kem gody , ít kiểu , không gian đẹp , tuy nhiên cửa sổ đi che hết nên không có nhìn xuống phố đi bộ được .","{kiểu,ít};{ko gian,đẹp};{kem,bình thường}","{kiểu,negative};{ko gian,positive};{kem,neutral}","{FOOD#STYLE&OPTIONS,negative};{AMBIENCE#GENERAL,positive};{FOOD#QUALITY,neutral}"
"quán mang phong cách bình dân , giá hợp lí .","{phong cách,bình dân};{giá,hợp lí}","{phong cách,neutral};{giá,positive}","{RESTAURANT#GENERAL,neutral};{RESTAURANT#PRICES,positive}"
• thực đơn cũng khá đa dạng giá cả tuy không đắt nhưng khẩu phần ăn cảm giác không no bên cạnh đó canh kim chi có vị dở,"{canh kim chi,dở};{menu,đa dạng};{giá cả,không đắt};{khẩu phần ăn,không no}","{canh kim chi,negative};{menu,positive};{giá cả,neutral};{khẩu phần ăn,negative}","{FOOD#QUALITY,negative};{FOOD#STYLE&OPTIONS,positive};{FOOD#PRICES,neutral};{FOOD#STYLE&OPTIONS,negative}"
mấy món nhật trang trí đẹp độ ngon miễn bàn rồi hen dù giá hơi cao nhưng mình thấy rất đáng tiền,"{món nhật,ngon};{trang trí,đẹp};{giá,cao}","{món nhật,positive};{trang trí,positive};{giá,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative}"
quán có vẻ hơi chật nhưng ánh sáng chập chờn wifi hơi bị lag mà có quang cảnh ngắm thành phố khá đẹp,"{wifi,lag};{quán,chật};{ánh sáng,chập chờn};{view,đẹp}","{wifi,negative};{quán,negative};{ánh sáng,negative};{view,positive}","{RESTAURANT#MISCELLANEOUS,negative};{RESTAURANT#GENERAL,negative};{AMBIENCE#GENERAL,negative};{LOCATION#GENERAL,positive}"
"đồ ăn ngon , rẻ , không gian quán sạch sẽ , nhân viên không thân thiện lắm , nhạc hơi quá to , phù hợp với các bạn trẻ","{nhân viên,ko thân thiện};{đồ ăn,ngon};{đồ ăn,rẻ};{nhạc,to};{không gian,sạch sẽ}","{nhân viên,negative};{đồ ăn,positive};{đồ ăn,positive};{nhạc,negative};{không gian,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive};{FOOD#PRICES,positive};{RESTAURANT#MISCELLANEOUS,negative};{AMBIENCE#GENERAL,positive}"
giá khá cao do ở trung tâm quận num và roftop nữa nhân viên nhiệt tình vui vẻ,"{nhân viên,nhiệt tình vui vẻ};{giá,cao};{null,trung tâm quận 1};{null,rooftop}","{nhân viên,positive};{giá,negative};{null,positive};{null,positive}","{SERVICE#GENERAL,positive};{RESTAURANT#PRICES,negative};{LOCATION#GENERAL,positive};{LOCATION#GENERAL,positive}"
nhân viên phục vụ nhiệt tình món ăn giá cao nhưng nhiều đáng tiền,"{nhân viên phục vụ,nhiệt tình};{món ăn,nhiều};{giá,cao};{món ăn,đáng tiền}","{nhân viên phục vụ,positive};{món ăn,positive};{giá,negative};{món ăn,positive}","{SERVICE#GENERAL,positive};{FOOD#STYLE&OPTIONS,positive};{FOOD#PRICES,negative};{FOOD#QUALITY,positive}"
"quán tuy không được đông khách vì cũng không được nhiều người biêt đến nhưng chất lượng đồ ăn siêu ngon luôn , đầy đặn cực kì .","{quán,null};{chất lượng đồ ăn,siêu ngon};{đồ ăn,đầy đặn}","{quán,neutral};{chất lượng đồ ăn,positive};{đồ ăn,positive}","{RESTAURANT#GENERAL,neutral};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive}"
không gian thì không được thoáng lắm nhưng món ăn với giá tiền khá ok,"{món ăn,ok};{không gian,không được thoáng};{giá tiền,ok}","{món ăn,neutral};{không gian,negative};{giá tiền,neutral}","{FOOD#QUALITY,neutral};{AMBIENCE#GENERAL,negative};{FOOD#PRICES,neutral}"
quán đẹp rộng và đông nên vì thế mình order num phần mà đợi cả num tiếng đồng hồ,"{quán,đông};{đợi,null};{quán,đẹp rộng}","{quán,neutral};{đợi,negative};{quán,positive}","{RESTAURANT#GENERAL,neutral};{SERVICE#GENERAL,negative};{RESTAURANT#GENERAL,positive}"
"thịt nước ướp ngon , lẩu ăn tạm được , điểm trừ dành cho nhân viên phục vụ quá chậm chạp , lần sau sẽ không quay lại","{nhân viên phục vụ,chậm chạp};{thịt,ngon};{lẩu,tạm được}","{nhân viên phục vụ,negative};{thịt,positive};{lẩu,neutral}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive};{FOOD#QUALITY,neutral}"
không gian đẹp thoáng nhân viên lịch sự thức ăn ngon và được trang trí rất ư là đẹp mắt giá tuy hơi cao nhưng so với chất lượng như thế là ổn,"{nhân viên,lịch sự};{thức ăn,ngon};{trang trí,đẹp mắt};{giá,cao};{không gian,đẹp thoáng}","{nhân viên,positive};{thức ăn,positive};{trang trí,positive};{giá,negative};{không gian,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative};{AMBIENCE#GENERAL,positive}"
"đường vào tìm quán cũng khá dễ , nhưng chỉ mỗi hơi phiền gửi xe vì là ngõ chợ nên ồn ào .","{gửi xe,null};{đường vào,dễ}","{gửi xe,negative};{đường vào,positive}","{RESTAURANT#MISCELLANEOUS,negative};{LOCATION#GENERAL,positive}"
cơm ở đây ăn được nhưng thái độ của nhân viên không tốt gọi đến mấy lần không trả lời,"{thái độ của nhân viên,không tốt};{cơm,được}","{thái độ của nhân viên,negative};{cơm,neutral}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,neutral}"
"không gian đẹp rộng thoáng và máy lạnh , đồ ăn đa dạng nên giá cả hơi đắt","{máy lạnh,null};{không gian,đẹp rộng thoáng};{đồ ăn,đa dạng};{giá cả,đắt}","{máy lạnh,positive};{không gian,positive};{đồ ăn,positive};{giá cả,negative}","{RESTAURANT#MISCELLANEOUS,positive};{AMBIENCE#GENERAL,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative}"
nhân viên phục vụ ổn lịch sự không gian quán hơi nhỏ,"{nhân viên phục vụ,ổn lịch sự};{không gian,nhỏ}","{nhân viên phục vụ,neutral};{không gian,negative}","{SERVICE#GENERAL,neutral};{AMBIENCE#GENERAL,negative}"
đồ ăn thì chất lượng chán được cái thái độ tốt không biết có cho nổi num sao không,"{thái độ,tốt};{đồ ăn,chán}","{thái độ,positive};{đồ ăn,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,negative}"
giá cũng khá cao nhưng ngon và chất lượng mình đi num người mỗi người hết num,"{null,ngon};{giá,cao};{null,chất lượng};{null,null}","{null,positive};{giá,negative};{null,positive};{null,neutral}","{RESTAURANT#GENERAL,positive};{RESTAURANT#PRICES,negative};{RESTAURANT#GENERAL,positive};{RESTAURANT#PRICES,neutral}"
"nhân viên nhiệt tình và rất lanh lẹ nhưng món ăn lên siêu chậm , đồ ăn thật sự là không cảm được đồ ăn ấn .","{nhân viên,nhiệt tình};{món ăn lên,siêu chậm};{nhân viên,lanh lẹ};{đồ ăn,không cảm được}","{nhân viên,positive};{món ăn lên,negative};{nhân viên,positive};{đồ ăn,negative}","{SERVICE#GENERAL,positive};{SERVICE#GENERAL,negative};{SERVICE#GENERAL,positive};{FOOD#STYLE&OPTIONS,negative}"
chất lượng đồ ăn vẫn như các chỗ khác nhưng phục vụ kém dã man,"{phục vụ,kém};{chất lượng đồ ăn,null}","{phục vụ,negative};{chất lượng đồ ăn,neutral}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,neutral}"
các món ở đây chủ yếu là các món việt dân dã hương vị rất ngon giá cả thì hơi cao,"{hương vị,ngon};{món việt,dân dã};{giá cả,cao}","{hương vị,positive};{món việt,positive};{giá cả,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative}"
"nhân viên nhiệt tình nhưng món lên rất chậm phải chờ đợi quá lâu , đồ uống khá tuyệt","{nhân viên,nhiệt tình};{món lên,chậm};{đồ uống,khá tuyệt}","{nhân viên,positive};{món lên,negative};{đồ uống,positive}","{SERVICE#GENERAL,positive};{SERVICE#GENERAL,negative};{DRINKS#QUALITY,positive}"
giá cả không đắt phục vụ ổn đồ ăn lên nhanh,"{phục vụ,ổn};{giá cả,k đắt};{đồ ăn lên,nhanh}","{phục vụ,neutral};{giá cả,positive};{đồ ăn lên,positive}","{SERVICE#GENERAL,neutral};{RESTAURANT#PRICES,positive};{SERVICE#GENERAL,positive}"
quán này không gian rộng rãi num tầng luôn nhưng lúc nào cũng đông nghịt khách,"{không gian,rộng rãi};{null,đông}","{không gian,positive};{null,neutral}","{AMBIENCE#GENERAL,positive};{RESTAURANT#GENERAL,neutral}"
chất lượng nước kém không ngon so với mức giá nhưng chất lượng phục vụ tốt nhất vũng tàu,"{chất lượng phục vụ,tốt};{chất lượng nước,kém không ngon}","{chất lượng phục vụ,positive};{chất lượng nước,negative}","{SERVICE#GENERAL,positive};{DRINKS#QUALITY,negative}"
"quán đẹp từ ngoài vào trong , nằm trên mặt đường hàng vôi rất dễ tìm , đồ uống giữ phong độ , mỗi loại đều rất ngon nhưng khách hàng đông","{Quán,đẹp};{null,dễ tìm};{đồ uống,ngon};{khách hàng,đông}","{Quán,positive};{null,positive};{đồ uống,positive};{khách hàng,neutral}","{RESTAURANT#GENERAL,positive};{LOCATION#GENERAL,positive};{DRINKS#QUALITY,positive};{RESTAURANT#GENERAL,neutral}"
"quán nằm ở vị trí cũng được , quang cảnh nhìn đẹp thoáng nhân viên phục vụ cũng ok nhưng mà hơi lâu tí","{nhân viên phục vụ,ok};{view,đẹp thoáng};{nhân viên phục vụ,lâu};{vị trí,cũng được}","{nhân viên phục vụ,neutral};{view,positive};{nhân viên phục vụ,negative};{vị trí,neutral}","{SERVICE#GENERAL,neutral};{LOCATION#GENERAL,positive};{SERVICE#GENERAL,negative};{LOCATION#GENERAL,neutral}"
nước ép ở đây ngon đúng nghĩa thiệt thà giá cũng okay không quá đắt so với mặt bằng chung ở sài gòn,"{giá,okay ko quá đắt};{nước ép,ngon}","{giá,neutral};{nước ép,positive}","{DRINKS#PRICES,neutral};{DRINKS#QUALITY,positive}"
nhân viên ở đây đông khách cũng đông nên món ăn ra có phần hơi lâu nhưng không sao mình cảm thấy các bạn nhân viên rất nhiệt tình,"{các bạn nv,nhiệt tình};{nv,đông};{khách,đông};{món ăn ra,lâu}","{các bạn nv,positive};{nv,positive};{khách,negative};{món ăn ra,negative}","{SERVICE#GENERAL,positive};{SERVICE#GENERAL,positive};{RESTAURANT#GENERAL,negative};{SERVICE#GENERAL,negative}"
ngồi gần máy lạnh siêu mát luôn nhưng quán không có quang cảnh mấy hơi buồn nhìn chung là ổn,"{máy lạnh,mát};{quán,ổn};{view,null}","{máy lạnh,positive};{quán,neutral};{view,negative}","{RESTAURANT#MISCELLANEOUS,positive};{RESTAURANT#GENERAL,neutral};{LOCATION#GENERAL,negative}"
"kích thước rộng rãi đến vỉa hè , chỗ để xe cũng thoải mái chỗ nữa tốt chắc tại bên này đường không đông nên thấy vậy nhân viên dễ thương nhanh nhẹn nhưng lên món hơi lâu mất công chờ","{nhân viên,dễ thương nhanh nhẹn};{lên món,lâu};{chỗ để xe,thoải mái};{kích thước,rộng rãi}","{nhân viên,positive};{lên món,negative};{chỗ để xe,positive};{kích thước,positive}","{SERVICE#GENERAL,positive};{SERVICE#GENERAL,negative};{RESTAURANT#MISCELLANEOUS,positive};{RESTAURANT#MISCELLANEOUS,positive}"
câu cá thì không ai dính được con nào món ăn ngon lên món siêu lâu,"{lên món,siêu lâu};{món ăn,ngon}","{lên món,negative};{món ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
hủ tiếu rất ngon nhưng giá lại quá chát rất thích ăn ở đây phục vụ không nhiệt tình nhưng lại chu đáo nhanh nhẹn cũng không hề phiền lòng gì ở quán này,"{phục vụ,không nhiệt tình};{phục vụ,chu đáo nhanh nhẹn};{hủ tiếu,ngon};{giá,chát}","{phục vụ,negative};{phục vụ,positive};{hủ tiếu,positive};{giá,negative}","{SERVICE#GENERAL,negative};{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{RESTAURANT#PRICES,negative}"
đây là nhà hàng hải sản ngon nhưng giá cao nhưng rất đáng đồng tiền bát gạo khi tới đây,"{nhà hàng,đáng đồng tiền bát gạo};{nhà hàng hải sản,ngon};{giá,cao}","{nhà hàng,positive};{nhà hàng hải sản,positive};{giá,negative}","{RESTAURANT#GENERAL,positive};{FOOD#QUALITY,positive};{RESTAURANT#PRICES,negative}"
"giá sinh viên , ngon , chỉ có cái đợi hơi lâu , phải nhắc nhiều lần chứ không nhân viên quên luôn","{đợi,lâu};{giá,sinh viên};{null,ngon}","{đợi,neutral};{giá,positive};{null,positive}","{SERVICE#GENERAL,neutral};{RESTAURANT#PRICES,positive};{RESTAURANT#GENERAL,positive}"
nhân viên nhanh nhẹn nhưng quán hơi ồn một tẹo,"{nhân viên,nhanh nhẹn};{quán,ồn}","{nhân viên,positive};{quán,negative}","{SERVICE#GENERAL,positive};{RESTAURANT#GENERAL,negative}"
"quán ăn tạm ổn , đồ hơi đắt nhưng khá ngon , sốt nêm nếm vừa miệng , sốt tiêu đen khá ok","{đồ,ngon};{sốt tiêu đen,ok};{quán ăn,tạm ổn};{đồ,đắt};{sốt,vừa miệng}","{đồ,positive};{sốt tiêu đen,neutral};{quán ăn,neutral};{đồ,negative};{sốt,positive}","{FOOD#QUALITY,positive};{FOOD#QUALITY,neutral};{RESTAURANT#GENERAL,neutral};{FOOD#PRICES,negative};{FOOD#QUALITY,positive}"
vì đám tụi mình ăn ít nên như trên là đã no căng bụng rồi giá cả hợp lý với chất lượng đồ ăn ở đây nha phục vụ vui vẻ và mình có để ý nhỏ là đầu bếp ở đây đa phần là nam,"{phục vụ,vui vẻ};{giá cả,hợp lý};{null,null}","{phục vụ,positive};{giá cả,positive};{null,neutral}","{SERVICE#GENERAL,positive};{RESTAURANT#PRICES,positive};{FOOD#STYLE&OPTIONS,neutral}"
không gian rộng đồ ăn ổn giá hơi cao nhân viên không tệ như mấy nhận xét trước,"{nhân viên,không tệ};{đồ ăn,ổn};{giá,cao};{không gian,rộng}","{nhân viên,neutral};{đồ ăn,neutral};{giá,negative};{không gian,positive}","{SERVICE#GENERAL,neutral};{FOOD#QUALITY,neutral};{RESTAURANT#PRICES,negative};{AMBIENCE#GENERAL,positive}"
"nhân viên rửa chén hay dọn dĩa rất ồn ào mất hết không khí khi ăn , thức ăn mình thấy khá ngon","{nhân viên,null};{thức ăn,ngon}","{nhân viên,negative};{thức ăn,positive}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
đã nghe gogi nay mở thêm bufet nên đầu năm mới ghé ăn thử thịt thà theo mình rất ok nhưng dù đồ ăn ngon đến nào thì phục vụ tệ cũng không muốn ăn phục vụ rất tệ lên món rất lâu ngồi đợi mà muốn no luôn,"{phục vụ,tệ};{thịt thà,rất ok};{lên món,lâu}","{phục vụ,negative};{thịt thà,positive};{lên món,negative}","{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive};{SERVICE#GENERAL,negative}"
"tổ chức sinh nhật ở peperonis giá cả vừa tầm , không gian ấm cúng , sang trọng , đồ ăn ngon và phục vụ chu đáo .","{phục vụ,chu đáo};{đồ ăn,ngon};{giá cả,vừa tầm};{không gian,ấm cúng};{không gian,sang trọng}","{phục vụ,positive};{đồ ăn,positive};{giá cả,neutral};{không gian,positive};{không gian,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{RESTAURANT#PRICES,neutral};{AMBIENCE#GENERAL,positive};{AMBIENCE#GENERAL,positive}"
nói chung giá hơi đắt nhưng chất lượng rất tốt,"{chất lượng,tốt};{giá,đắt}","{chất lượng,positive};{giá,negative}","{RESTAURANT#GENERAL,positive};{RESTAURANT#PRICES,negative}"
tuy ở đây hơi đông phục vụ hơi chậm num tí nhưng thật sự giá cả chất lượng rất hợp lý,"{chất lượng,hợp lý};{phục vụ,chậm};{giá cả,hợp lý};{null,đông}","{chất lượng,positive};{phục vụ,negative};{giá cả,positive};{null,neutral}","{RESTAURANT#GENERAL,positive};{SERVICE#GENERAL,negative};{RESTAURANT#PRICES,positive};{RESTAURANT#GENERAL,neutral}"
không gian quán hơi chật một tí đi lên cầu thang hơi cực bù lại các bạn nhân viên rất dễ thương,"{nhân viên,dễ thương};{không gian,chật}","{nhân viên,positive};{không gian,negative}","{SERVICE#GENERAL,positive};{AMBIENCE#GENERAL,negative}"
thức ăn ít chất lượng biết không nóng phục vụ chậm chạp thời gian chờ lâu thái độ phục vụ không thân thiện tính phụ thu mắc đồ ăn đã mắc giữ xe giá tiền một chiếc không bao giờ có lần num,"{phục vụ,chậm chạp};{thời gian chờ,lâu};{thái độ phục vụ,không thân thiện};{chất lượng,bt};{thức ăn,ít};{phụ thu,mắc};{đồ ăn,mắc};{giữ xe,10k}","{phục vụ,negative};{thời gian chờ,negative};{thái độ phục vụ,negative};{chất lượng,neutral};{thức ăn,negative};{phụ thu,negative};{đồ ăn,negative};{giữ xe,neutral}","{SERVICE#GENERAL,negative};{SERVICE#GENERAL,negative};{SERVICE#GENERAL,negative};{FOOD#QUALITY,neutral};{FOOD#STYLE&OPTIONS,negative};{RESTAURANT#MISCELLANEOUS,negative};{FOOD#PRICES,negative};{RESTAURANT#MISCELLANEOUS,neutral}"
gà kfc về chất lượng với giá cả thì không còn gì phải bàn cãi rồi lâu lâu khuyến mãi giá tiền thì càng rẻ nữa mình thích không gian ở đây,"{gà kfc,null};{giá cả,null};{không gian,thích};{khuyến mãi,99k}","{gà kfc,positive};{giá cả,positive};{không gian,positive};{khuyến mãi,neutral}","{FOOD#QUALITY,positive};{RESTAURANT#PRICES,positive};{AMBIENCE#GENERAL,positive};{RESTAURANT#MISCELLANEOUS,neutral}"
thật ra mình thấy ngoài nước chấm mọi thứ đều bình thường ăn cũng được thôi chứ chưa tới mức đặc sắc đâu giá cũng hơi mắc nhân viên hơi tào lao,"{null,bình thường};{giá,mắc};{nhân viên,tào lao}","{null,neutral};{giá,negative};{nhân viên,negative}","{FOOD#QUALITY,neutral};{RESTAURANT#PRICES,negative};{SERVICE#GENERAL,negative}"
món ăn được bài trí khá công phu ngay cả thực đơn cũng vậy do vậy giá so với món chay ở nhà hàng khác khá đắt giá dao động từ giá tiền giá tiền món,"{bài trí,công phu};{menu,null};{giá,đắt};{null,null}","{bài trí,positive};{menu,positive};{giá,negative};{null,neutral}","{FOOD#STYLE&OPTIONS,positive};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative};{FOOD#PRICES,neutral}"
thật sự mà nói mình rất thích kem ở cloudy nhưng vì cách phục vụ và thái độ của nhân viên ở đây phải nói là quá tệ nên mình sẽ không ghé đến lần sau,"{thái độ của nhân viên,tệ};{cách phục vụ,tệ};{kem,thích}","{thái độ của nhân viên,negative};{cách phục vụ,negative};{kem,positive}","{SERVICE#GENERAL,negative};{SERVICE#GENERAL,negative};{FOOD#QUALITY,positive}"
mình thích ăn piza hut dù giá hơi đắt hơn nhiều chỗ khác nhưng ngon,"{pizza,ngon};{giá,đắt}","{pizza,positive};{giá,negative}","{FOOD#QUALITY,positive};{FOOD#PRICES,negative}"
không gian thoáng có nhiều khoảng xanh của cây cối rộng rãi có hồ cá khá lớn vòng quanh nước uống tạm được,"{không gian,thoáng};{khoảng xanh của cây cối,rộng rãi};{hồ cá,lớn};{nước uống,tạm được}","{không gian,positive};{khoảng xanh của cây cối,positive};{hồ cá,positive};{nước uống,neutral}","{AMBIENCE#GENERAL,positive};{AMBIENCE#GENERAL,positive};{RESTAURANT#MISCELLANEOUS,positive};{DRINKS#QUALITY,neutral}"
món ăn lên cũng nhanh không quá chậm mặc dù khu này rộng lớn và đông,"{khu,rộng lớn};{món ăn lên,nhanh};{khu,đông};{khu,đông}","{khu,positive};{món ăn lên,positive};{khu,neutral};{khu,neutral}","{RESTAURANT#GENERAL,positive};{SERVICE#GENERAL,positive};{RESTAURANT#GENERAL,neutral};{RESTAURANT#GENERAL,neutral}"
nhân viên lịch sự không gian rộng rãi nói về đồ ăn thì thịt khá tươi và ngon có num nhược điểm nhỏ là quán lên món hơi lâu quán buổi tối khá đông giá ok bao no nê luôn,"{giá,okie};{nhân viên,lịch sự};{thịt,ngon};{không gian,rộng rãi};{lên món,lâu};{quán,đông};{thịt,tươi}","{giá,neutral};{nhân viên,positive};{thịt,positive};{không gian,positive};{lên món,negative};{quán,neutral};{thịt,positive}","{RESTAURANT#PRICES,neutral};{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{AMBIENCE#GENERAL,positive};{SERVICE#GENERAL,negative};{RESTAURANT#GENERAL,neutral};{FOOD#STYLE&OPTIONS,positive}"
"được cái trà ngon , vừa miệng nhưng hơi nhiều đá .","{đá,nhiều};{trà,ngon};{trà,vừa miệng}","{đá,negative};{trà,positive};{trà,positive}","{DRINKS#STYLE&OPTIONS,negative};{DRINKS#QUALITY,positive};{DRINKS#QUALITY,positive}"
không gian sang trọng phục vụ tốt tuy giá có đắt nhưng món ăn rất chất lượng,"{phục vụ,tốt};{món ăn,chất lượng};{giá,đắt};{không gian,sang trọng}","{phục vụ,positive};{món ăn,positive};{giá,negative};{không gian,positive}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,positive};{RESTAURANT#PRICES,negative};{AMBIENCE#GENERAL,positive}"
không gian dễ thương hơi bị đẹp tốt tốt có điều buổi tối ngồi muỗi hơi bị nhiều tốt tốt đồ uống ngon đa dạng thích nhất có có quét ecard tốt tốt tốt,"{đồ uống,đa dạng};{không gian,dễ thương};{đồ uống,ngon};{không gian,đẹp};{muỗi,nhiều};{ecard,thích}","{đồ uống,positive};{không gian,positive};{đồ uống,positive};{không gian,positive};{muỗi,negative};{ecard,positive}","{DRINKS#STYLE&OPTIONS,positive};{AMBIENCE#GENERAL,positive};{DRINKS#QUALITY,positive};{AMBIENCE#GENERAL,positive};{RESTAURANT#MISCELLANEOUS,negative};{RESTAURANT#MISCELLANEOUS,positive}"
một ngày tình cờ đi qua ngoại thương thăm bạn bắt gặp quán nằm trong hẻm d num quán nhỏ nhưng trang trí ấm cúng mình order món bò sốt vang bò mềm nêm nếm vừa miệng nhưng giá hơi cao,"{bò sốt vang,vừa miệng};{giá,cao};{quán,nhỏ};{quán,nằm trong hẻm};{decor,ấm cúng}","{bò sốt vang,positive};{giá,negative};{quán,negative};{quán,neutral};{decor,positive}","{FOOD#QUALITY,positive};{RESTAURANT#PRICES,negative};{RESTAURANT#GENERAL,negative};{RESTAURANT#GENERAL,neutral};{AMBIENCE#GENERAL,positive}"
ăn khá ok không gian đẹp nhìu món lạ nhưng có điều giá hơi cao,"{null,ok};{món lạ,nhìu};{giá,cao};{ko gian,đẹp}","{null,neutral};{món lạ,positive};{giá,negative};{ko gian,positive}","{FOOD#QUALITY,neutral};{FOOD#STYLE&OPTIONS,positive};{RESTAURANT#PRICES,negative};{AMBIENCE#GENERAL,positive}"
cafe cốt dừa uống cũng ổn lắm cafe đá xay hơi nhiều đá,"{cafe đá xay,nhiều đá};{cafe cốt dừa,ổn}","{cafe đá xay,negative};{cafe cốt dừa,neutral}","{DRINKS#STYLE&OPTIONS,negative};{DRINKS#QUALITY,neutral}"
đồ ăn thì quá bình thường không có gì đặc sắc ăn giá tiền mà tiếc đứt ruột,"{đồ ăn,bình thường};{đồ ăn,null}","{đồ ăn,neutral};{đồ ăn,negative}","{FOOD#QUALITY,neutral};{FOOD#PRICES,negative}"
giá cả hơi cao nhưng mà tiền nào của nấy nước uống ngon quang cảnh đẹp mà,"{giá cả,cao};{view,đẹp};{nước uống,ngon}","{giá cả,negative};{view,positive};{nước uống,positive}","{RESTAURANT#PRICES,negative};{LOCATION#GENERAL,positive};{DRINKS#QUALITY,positive}"
"bảng thực đơn có vẻ giá khá cao nhưng mà hoàn toàn xứng đáng , không gian đẹp bày trí ưa nhìn nhẹ nhàng tạo sự thanh tao","{giá,cao};{không gian,đẹp};{bày trí,ưa nhìn nhẹ nhàng}","{giá,negative};{không gian,positive};{bày trí,positive}","{RESTAURANT#PRICES,negative};{AMBIENCE#GENERAL,positive};{AMBIENCE#GENERAL,positive}"
tìm chỗ đục mưa rồi thấy đông quá nên quẹo vào luôn quán hơi nhỏ thôi được chia ra khoang bàn cao với bàn ngồi kiểu nhật nhân viên thân thiện lịch sự mỗi cái món ăn lên hơi lâu,"{nhân viên,thân thiện lịch sự};{quán,nhỏ};{món ăn lên,lâu}","{nhân viên,positive};{quán,negative};{món ăn lên,negative}","{SERVICE#GENERAL,positive};{RESTAURANT#GENERAL,negative};{SERVICE#GENERAL,negative}"
bạn mình uống giảm matcha num % đường thì thấy hơi nhạt .,"{matcha,null};{matcha,nhạt}","{matcha,neutral};{matcha,negative}","{DRINKS#STYLE&OPTIONS,neutral};{DRINKS#QUALITY,negative}"
thức ăn rất hợp khẩu vị và trang trí rất đẹp ! ! ! phục vụ thì tạm ổn chứ chưa tốt,"{phục vụ,tạm ổn};{thức ăn,hợp khẩu vị};{trang trí,đẹp}","{phục vụ,neutral};{thức ăn,positive};{trang trí,positive}","{SERVICE#GENERAL,neutral};{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive}"
"vị ngon vừa miệng đưa ra nóng hổi cua chắc thịt , giá num con cua khoảng giá tiền","{vị,ngon vừa miệng};{cua,chắc thịt};{giá,null}","{vị,positive};{cua,positive};{giá,neutral}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,positive};{FOOD#PRICES,neutral}"
mình thấy nước lẩu hơi ngấy nhân viên phục vụ nhiệt tình lịch sự,"{nhân viên phục vụ,nhiệt tình lịch sự};{nước lẩu,ngấy}","{nhân viên phục vụ,positive};{nước lẩu,negative}","{SERVICE#GENERAL,positive};{FOOD#QUALITY,negative}"
nước uống của quán không đa dạng nhưng giá rẻ và chất lượng,"{nước uống,không đa dạng};{giá,rẻ};{nước uống,chất lượng}","{nước uống,negative};{giá,positive};{nước uống,positive}","{DRINKS#STYLE&OPTIONS,negative};{DRINKS#PRICES,positive};{DRINKS#QUALITY,positive}"
bò ngon nhưng màu không đẹp mắt lắm nếu như không có màu salat vớt lại .,"{bò,ngon};{màu,k đẹp mắt}","{bò,positive};{màu,negative}","{FOOD#QUALITY,positive};{FOOD#STYLE&OPTIONS,negative}"
